epoch,amount
211,10.01699
213,17.257456
214,16.907672
215,15.916551
216,19.920869
217,17.385849
218,14.923441
219,14.967721
220,20.216637
221,17.334331
222,13.668169
223,17.144091
224,79.521913
225,78.281136
226,62.27688
227,67.994145
228,71.566087
229,77.010568
230,51.913902
231,54.394353
232,69.424419
233,64.778026
234,85.055346
235,68.588654
236,64.278431
237,61.009209
238,67.150622
239,82.454947
240,82.412644
241,97.481583
242,78.412217
243,108.123893
244,104.880816
245,96.719707
246,115.074383
247,94.786019
248,104.570891
249,99.866797
250,120.485296
251,96.111983
252,89.062422
253,91.061335
254,73.648245
255,108.277786
256,83.033773
257,73.455056
258,103.658727
259,101.425366
260,79.267512
261,59.28935
262,106.411819
263,75.85289
264,61.257851
265,117.369454
266,91.14066
267,71.373618
268,87.829508
269,90.294362
270,106.31253
271,82.959418
272,71.844067
273,67.160346
274,94.639264
275,50.146423
276,86.139872
277,92.347402
278,110.653925
279,103.086943
280,124.934776
281,65.382567
282,116.697881
283,138.358129
284,93.628439
285,79.673014
286,120.2876
287,115.704752
288,109.492954
289,44.208498
290,97.673263
291,54.905374
292,75.325178
293,70.741491
294,124.332293
295,108.151507
296,84.08541
297,78.432093
298,72.774351
299,83.067187
300,92.153488
301,117.3598
302,79.808988
303,74.150839
304,108.958242
305,75.874234
306,68.885501
307,75.058572
308,57.236342
309,99.520506
310,84.734562
311,85.265719
312,65.038831
313,64.930715
314,42.476175
315,65.755491
316,78.54694
317,48.040573
318,50.382632
319,92.68206
320,82.737091
321,55.580368
